DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,JARAIZ DE LA VERA,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",ANGEL GAMO,A,01-05-1996,--,0263200,4440670,Abastecimiento                                    -  -,-  -,,"7,800","8,100","0,000","69,000",,Materiales sueltos P hormigón,"46,000","440,000","608,200","562,200","562,200","322,478",001,"4,000 -",001,"70,000 -","No, Labio fijo -",,AYO. VEGUILLAS,GARGANTA LA OLLA,TAJO
,"JARALLANA, LA",,Explotación,PILAR MORENO TOZER,J. NAHON PEREZ,B,31-12-1980,--,0208373,4405588,Pesca                                             -  - Riego,-  -,,"6,370","2,700","970,500","21,160",,Materiales sueltos homogenea,"9,500","147,000","314,650","305,150","305,150","22,000",001,"0,000 -",001,"21,160 -","No, Labio fijo -",,AYO. DEL CURA,TORREJON EL RUBIO,TAJO
,JARILLA NOGALES,,Explotación,J. VINAGRE GONZALEZ,M. MARTINEZ ARGANDOÑA,,31-12-1992,--,0175033,4274260,Riego                                             -  -,-  -,,"44,000","5,000","0,000","54,000",,Gravedad,"15,150","130,000","401,150","386,000","388,500","5,670",000,-,001,"54,000 -","No, Labio fijo -",,SALVATIERRA,NOGALES,GUADIANA
,"JARILLA, LA (GUADIANA)",,Explotación,LORENZO Y MARCOS MILLAS GOMEZ,PROINTEC,,01-01-1977,--,0482750,4287250,Riego                                             -  -,-  -,,"110,750","10,000","0,000","80,000",,Materiales sueltos homogenea,"14,000","264,000","783,500","769,500","770,000","55,470",000,-,001,"76,000 -","No, Labio fijo -",,ARROYO DEL BUEY,TORRE DE JUAN ABAD,GUADIANA
,"JARILLA, LA (TAJO)",,Explotación,HERMANOS ALONSO,J-RAMON,,01-01-1964,--,0242520,4451720,Riego                                             -  -,-  -,,"9,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"10,000","155,000","0,000","0,000","0,000","21,890",000,-,001,"0,000 -","No, Labio fijo -",,CAVERA,JARILLA,TAJO
,"JAROSA, LA",,Explotación,CANAL DE ISABEL II,J. GAVALA,A,15-09-1968,--,0405780,4502200,Abastecimiento                                    -  - Regulación,-  -,,"18,000","11,500","850,000","160,000",,Gravedad,"54,000","213,000","1088,000","1034,000","1042,000","110,740",001,"15,500 -",001,"240,000 -",Compuertas. -,,JAROSA,GUADARRAMA,TAJO
,"JAROSA, LA (DIQUE DEL COLLADO)",,Explotación,CANAL DE ISABEL II,J. GAVALA,A,15-09-1968,--,0405825,4502260,Abastecimiento                                    -  - Regulación,-  -,,"18,000","11,500","850,000","160,000",,Gravedad,"14,100","337,000","1088,100","1074,000","1079,500","25,946",000,-,000,-,-,,ARROYO FUENTE CORNEJA,GUADARRAMA,TAJO
,JARRAMA,,Explotación,JUNTA DE ANDALUCÍA,FCO. LÓPEZ ZAFRA,A,31-12-1998,--,0190247,4174971,Abastecimiento                                    -  - Riego,-  -,,"160,000","33,140","796,600","760,000",,Materiales sueltos núcleo arcilla,"41,110","291,510","249,110","208,000","211,000","598,140",001,"15,610 -",001,"464,000 -","No, Labio fijo -",,JARRAMA,"NERVA, MADROÑO",C. ATLÁNTICA ANDALUZA
,JAUJA,MALPASILLO JAUJA,Explotación,SEVILLANA DE ELECTRICIDAD,F-BENJUMEA,A,31-12-1951,--,0352650,4129600,Hidroeléctrico                                    -  - Riego,-  -,,"5219,000","465,000","0,000","3000,000",,Contrafuertes,"36,000","222,900","250,000","214,000","220,160","61,340",000,-,001,"3000,000 -",Compuertas. -,,GENIL,LUCENA,GUADALQUIVIR
,JAVIERRELATRE,,Explotación,ELECTRICAS REUNIDAS DE ZARAGOZA,C. SANCHO REBULLIDA,A,31-12-1966,--,0708355,4698427,Hidroeléctrico                                    -  -,-  -,,"1035,000","0,000","0,000","1950,000",,Gravedad,"14,000","118,000","662,310","648,310","652,310","13,000",000,-,001,"1950,000 -",Compuertas. -,,GALLEGO,JAVIERRELATRE,EBRO
,JERTE,JERTE PLASENCIA,Explotación,ESTADO,C-H-TAJO,A,31-12-1985,--,0240325,4439095,Abastecimiento                                    -  - Riego,-  -,,"379,410","324,000","1343,000","1200,000",,Materiales sueltos núcleo arcilla,"42,500","503,000","372,500","330,000","334,800","832,000",002,"0,000 - 0,000",001,"860,000 -","No, Labio fijo -",,JERTE,PLASENCIA,TAJO
,JETREROS / SALORINO,,Explotación,AYUNTAMIENTO DE SALORINO,"L-CANALEJO, C. CARBAJO Y M. CRUZ",,01-01-1977,--,0149321,4377199,Abastecimiento                                    -  -,-  -,,"4,950","1,000","0,000","19,000",,Gravedad,"17,110","230,700","391,700","374,590","377,590","6,660",001,"0,000 -",001,"77,000 -","No, Labio fijo -",,JETREROS,SALORINO,TAJO
,JIMENEZ / ARUCAS,,Explotación,COMUNIDAD DE REGANTES DE TRASMONTAÑA,A. ALONSO URQUIJO,,01-01-1966,01-01-1966,-737478,3173192,Riego                                             -  -,-  -,,"3,940","0,000","0,000","0,000",,Gravedad,"46,000","101,400","375,000","329,000","335,000","42,000",000,-,001,"37,628 -","No, Labio fijo -",,BARRANCO JIMENEZ,ARUCAS,LAS PALMAS
,"JOCICA, LA",,Explotación,NAVARRO S.A.,E-VALLARINO,C,31-12-1964,--,0335490,4785842,Hidroeléctrico                                    -  -,-  -,,"39,000","0,000","0,000","189,000",,Bóveda,"87,000","66,000","898,000","811,000","833,000","6,000",001,"0,000 -",001,"273,000 -","No, Labio fijo -",,DOBRA,AMIEVA,NORTE
,JOSE BAUTISTA,"ROMERAL, EL",Puesta en Carga,ESTADO,C. MARCO GARCIA,A,01-01-1997,--,0648320,4193745,Defensa frente a avenidas                         -  -,-  -,,"2311,000","0,000","358,000","2050,000",,Gravedad,"33,500","265,000","137,000","103,500","111,000","240,000",001,"56,000 -",001,"2080,000 -","No, Labio fijo -",,GUADALENTIN,LIBRILLA,SEGURA
,JOSE BAUTISTA (DIQUE DEL COLLADO),"ROMERAL, EL (DIQUE DEL COLLADO)",Puesta en Carga,ESTADO,C. MARCO GARCIA,A,01-01-1997,--,0647580,4194070,Defensa frente a avenidas                         -  -,-  -,,"2311,000","0,000","358,000","2050,000",,Materiales sueltos homogenea,"9,000","975,000","138,000","129,000","130,000","451,000",000,-,000,-,-,,GUADALENTIN,LIBRILLA,SEGURA
,JOSE MARIA DE ORIOL (ALCANTARA II),ALCANTARA II,Explotación,IBERDROLA GENERACION S.A.,M. CASTILLO,A,01-01-1969,--,0166484,4404816,Hidroeléctrico                                    -  -,-  -,,"51916,000","7695,000","669,000","15000,000",,Contrafuertes,"130,000","570,000","223,000","93,000","101,000","956,000",002,"340,000 - 337,000",002,"4150,000 - 8000,000",Compuertas. - Compuertas.,,TAJO,ALCANTARA,TAJO
,JOSE TORAN,,Explotación,ESTADO,A. RAMON GUINEA,A,31-12-1992,--,0281327,4181047,Abastecimiento                                    -  - Riego,-  -,,"243,000","45,000","690,000","1400,000",,Bóveda,"77,000","362,000","150,650","73,650","80,000","206,150",001,"36,240 -",001,"353,000 -","No, Labio fijo -",,GUADALBARCAR,LORA DEL RIO,GUADALQUIVIR
,JUAN BENET (PORMA),,Explotación,ESTADO,M. PALANCAR,A,31-12-1968,--,0313090,4755710,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"253,300","341,000","1593,000","800,000",,Gravedad,"77,600","251,400","1097,600","1020,000","1023,500","334,000",001,"0,000 -",001,"500,000 -",Compuertas. -,,PORMA,BOÑAR,DUERO
,"JUNCAL, EL",,Explotación,"IBERDROLA ENERGÍAS RENOVABLES II, S.A.",A. VILLOTA Y H. AZQUETA,A,31-12-1930,--,0474465,4795165,Hidroeléctrico                                    -  -,-  -,,"6,180","4,000","0,000","3,000",,Materiales sueltos P hormigón,"30,000","250,000","550,000","520,000","524,000","0,278",000,-,001,"3,000 -","No, Labio fijo -",,CHIRLIA,GURIEZO,NORTE
,"JUNCAL, EL (DIQUE DEL COLLADO)",,Explotación,"IBERDROLA ENERGÍAS RENOVABLES II, S.A.",A.VILLOTA Y H.AZQUETA,A,31-12-1930,--,0474465,4795165,Hidroeléctrico                                    -  -,-  -,,"6,180","4,000","0,000","3,000",,Materiales sueltos homogenea,"7,500","165,000","550,000","542,500","544,000","11,000",000,-,000,-,-,,CHIRLIA,GURIEZO,NORTE
,"LABERINTO, EL",,Explotación,PARTICULAR,V-AYCART,,31-12-1984,--,0312351,4167297,Riego                                             -  -,-  -,,"3,200","1,000","500,000","11,000",,Materiales sueltos homogenea,"13,500","127,500","102,400","88,900","91,250","25,000",000,-,001,"6,000 -","No, Labio fijo -",,SUERTE,ECIJA,GUADALQUIVIR
,LABROS,,Explotación,URB. PARQUE ROMILLO,L.F.PARADELA GLEZ.,,31-12-1980,--,0373175,4459333,Abastecimiento                                    -  -,-  -,,"1460,000","0,000","0,000","0,000",,Gravedad,"10,000","85,000","585,000","575,000","576,500","3,490",000,-,001,"3,000 -","No, Labio fijo -",,LABROS,ALMOROX,TAJO
,LAGO NEGRO,LLAC NEGRE,Explotación,ENDESA GENERACION S.A.,P. DURAN FARRELL,A,01-07-1956,--,0832334,4718054,Defensa frente a avenidas                         -  - Hidroeléctrico,-  -,,"5,240","1,800","1360,000","18,000",,Materiales sueltos núcleo arcilla,"10,600","87,500","2340,000","2329,400","2333,500","4,350",001,"1,500 -",001,"18,350 -","No, Labio fijo -",,PEGUERA,ESPOT,EBRO
,LAGO NEGRO (DIQUE DEL COLLADO),LLAC NEGRE (DIQUE DEL COLLADO),Explotación,"ENDESA GENERACIÓN, S.A.",P-DURAN FARRELL,C,31-12-1956,--,0832325,4718056,Hidroeléctrico                                    -  - Defensa frente a avenidas,-  -,,"5,240","1,800","1360,000","18,000",,Gravedad,"3,000","16,000","2339,650","2336,650","2337,500","0,040",000,-,000,-,-,,PEGUERA,ESPOT,EBRO
,LAGUNA DE LAS YEGUAS,,Explotación,ESTADO,J-FERNANDEZ,C,01-01-1977,--,0466190,4101350,Abastecimiento                                    -  -,-  -,,"4,000","1,000","1825,000","15,000",,Materiales sueltos P Lámina,"21,400","210,500","2900,000","2878,600","2882,800","49,480",001,"2,650 -",001,"43,000 -","No, Labio fijo -",,DILAR,DILAR,GUADALQUIVIR
,LAGUNA DE LAS YEGUAS (DIQUE DEL COLLADO),,Explotación,ESTADO,J-FERNANDEZ,C,01-01-1977,--,0466190,4101350,Abastecimiento                                    -  -,-  -,,"4,000","1,000","1825,000","15,000",,Materiales sueltos P Lámina,"21,200","218,000","2900,000","2878,800","2882,700","52,660",000,-,000,-,-,,DILAR,DILAR,GUADALQUIVIR
,LAGUNAZO,,Explotación,COMPAÑÍA AZUFRE Y COBRE THARSIS,,,31-12-1880,--,0132619,4172077,Industrial                                        -  -,-  -,,"8,000","0,000","0,000","0,000",,Gravedad,"12,000","145,000","0,000","0,000","0,000","3,000",000,-,001,"35,000 -","No, Labio fijo -",,COBICA,ALOSNO,C. ATLÁNTICA ANDALUZA
,LANCARA (AZUD),,Explotación,UNION FENOSA GENERACION S.A.,,C,31-12-1953,--,0257600,4754400,Hidroeléctrico                                    -  -,-  -,,"40,000","0,000","0,000","192,000",,Gravedad,"3,000","15,000","1254,500","1251,500","1251,500","0,000",000,-,001,"0,000 -","No, Labio fijo -",,PEREDA,SENA DE LUNA,DUERO
,LANUZA,,Explotación,ESTADO,J.I.BODEGA,A,31-12-1978,--,0719724,4736757,Hidroeléctrico                                    -  -,-  -,,"114,000","209,000","1352,000","624,000",,Bóveda,"79,600","176,330","1286,600","1207,000","1214,000","65,080",001,"100,000 -",001,"400,000 -",Compuertas. -,,GALLEGO,SALLENT DE GALLEGO,EBRO
,LAREO,,Explotación,CONSORCIO DE AGUAS DE GUIPUZCOA,EUROESTUDIOS,A,31-12-1988,--,0572040,4758815,Abastecimiento                                    -  -,-  -,,"5,000","5,000","0,000","48,000",,Materiales sueltos P hormigón,"40,000","364,000","743,000","703,000","704,000","163,220",001,"6,000 -",001,"21,000 -","No, Labio fijo -",,AGAUNTZA,ATAUN,NORTE
,LAREO (DIQUE DEL COLLADO),,Explotación,CONSORCIO DE AGUAS DE GUIPUZCOA,EUROESTUDIOS,C,31-12-1988,--,0572905,4758580,Abastecimiento                                    -  -,-  -,,"5,000","5,000","0,000","48,000",,Materiales sueltos núcleo arcilla,"8,000","248,660","743,000","735,000","737,500","5,850",000,-,000,-,-,,AGAUNTZA,ATAUN,NORTE
,LASPUÑA,,Explotación,ELECTRICAS REUNIDAS DE ZARAGOZA,P-M-GUINEA,B,31-12-1965,--,0762772,4715241,Hidroeléctrico                                    -  -,-  -,,"520,000","0,000","0,000","1500,000",,Gravedad,"23,000","94,500","676,120","653,120","665,000","14,000",000,-,001,"1548,000 -",Compuertas. -,,CINCA,"TELLA-SIN, LASPUÑA",EBRO
,"LASTRA / NANSA, LA",,Explotación,"SALTOS DEL NANSA, S.A.","SALTOS-NANSA, S.A.",A,26-11-1955,--,0388195,4778599,Hidroeléctrico                                    -  -,-  -,,"113,400","0,000","0,000","380,000",,Gravedad,"29,500","83,000","449,100","419,600","436,000","14,300",001,"0,000 -",001,"368,000 -",Compuertas. -,,NANSA,TUDANCA,NORTE
,LAUCARIZ,,Explotación,C. CAMPO SDAD. BILBAINA,ICOP,,31-12-1974,--,0511709,4798052,Abastecimiento                                    -  -,-  -,,"1,660","1,000","1233,000","20,000",,Materiales sueltos homogenea,"24,000","228,000","77,300","53,000","56,000","170,000",000,-,001,"20,000 -","No, Labio fijo -",,BARRIEGA (ARROYO BARRIEGA),MUNGUIA,C.I. PAÍS VASCO
,LAVANDEIRA,,Explotación,CAOLINES VIMIANZO,J.E. SECO,,31-12-1983,--,0007864,4785958,Industrial                                        -  -,-  -,,"3,300","0,000","0,000","32,000",,Materiales sueltos núcleo arcilla,"14,000","115,000","285,000","270,500","273,100","31,500",000,-,001,"10,000 -","No, Labio fijo -",,LAVANDEIRA,VIMIANZO,GALICIA COSTA
,LAVERNE,,Construcción,ESTADO,,A,--,--,0656493,4660618,Riego                                             -  -,-  -,,"3,400","0,000","202,000","20,200",,Materiales sueltos núcleo arcilla,"54,500","528,300","403,000","348,500","352,500","2067,000",001,"19,700 -",001,"0,000 -","No, Labio fijo -",,BARRANCO LAVERNE,EJEA DE LOS CABALLEROS,EBRO
,LAVERNE (DIQUE DEL COLLADO 1),,Construcción,ESTADO,,A,--,--,0656493,4660618,Riego                                             -  -,-  -,,"3,400","0,000","202,000","20,200",,Materiales sueltos homogenea,"14,000","320,000","0,000","0,000","0,000","0,000",000,-,000,-,-,,,EJEA DE LOS CABALLEROS,EBRO
,LAVERNE (DIQUE DEL COLLADO 2),,Construcción,ESTADO,,A,--,--,0656493,4660618,Riego                                             -  -,-  -,,"3,400","0,000","202,000","20,200",,Materiales sueltos homogenea,"14,500","687,000","0,000","0,000","0,000","0,000",000,-,000,-,-,,,EJEA DE LOS CABALLEROS,EBRO
,LAVERNE (DIQUE DEL COLLADO DERECHO),,Construcción,ESTADO,,A,--,--,0659797,4660422,Riego                                             -  -,-  -,,"3,400","0,000","202,000","20,200",,Materiales sueltos núcleo arcilla,"14,100","686,700","403,000","388,900","391,000","215,000",000,-,000,-,-,,BARRANCO DE LA PARADA,EJEA DE LOS CABALLEROS,EBRO
,LAVERNE (DIQUE DEL COLLADO IZQUIERDO),,Construcción,ESTADO,,A,--,--,0657036,4660803,Riego                                             -  -,-  -,,"3,400","0,000","202,000","20,200",,Materiales sueltos núcleo arcilla,"17,500","348,700","403,000","385,500","388,000","148,000",000,-,000,-,-,,BARRANCO DE LA CALCINA,EJEA DE LOS CABALLEROS,EBRO
,LEBOREIRO / MAO,,Explotación,UNION FENOSA GENERACION S.A.,L-YORDI,C,31-12-1949,--,0127246,4696136,Hidroeléctrico                                    -  -,-  -,,"68,000","0,000","1000,000","120,000",,Gravedad,"27,000","120,000","861,500","834,500","839,000","31,220",001,"0,000 -",001,"140,000 -",Compuertas. -,,MAO,MONTEDERRAMO,NORTE
,LECHAGO,,Construcción,ESTADO,EDUARDO RUIZ DE TEMIÑO BRAVO,A,--,--,0643090,4536601,Regulación                                        -  - Riego,-  -,,"469,000","14,000","455,600","291,000",,Materiales sueltos núcleo arcilla,"39,000","330,000","895,000","856,000","861,000","1124,900",001,"24,600 -",001,"232,000 -","No, Labio fijo -",,PANCRUDO,CALAMOCHA,EBRO
,LECHUCILLA,,Explotación,AYUNTAMIENTO DE LAS PALMAS,J-ALONSO,,01-01-1963,--,-740251,3159996,Abastecimiento                                    -  -,-  -,,"2,390","0,000","0,000","0,000",,Gravedad,"40,000","78,000","1295,000","1255,000","1265,000","25,780",000,-,000,-,-,,BARRANCO LECHUCILLA,VEGA DE SAN MATEO,LAS PALMAS
,LEIVA,,Explotación,AUTONOMIA LA RIOJA,J-R-PENA,A,31-12-1991,--,0495880,4705985,Hidroeléctrico                                    -  - Riego,-  -,,"598,000","151,000","650,000","493,000",,Gravedad,"24,500","215,000","589,500","565,000","573,000","29,760",001,"16,000 -",001,"490,000 -","No, Labio fijo -",,TIRON,LEIVA,EBRO
,LEKUBASO,,Explotación,AYUNTAMIENTO DE GALDACANO,I. ROTAECHE,A,31-12-1957,--,0513183,4782615,Abastecimiento                                    -  -,-  -,,"6,710","0,000","1200,000","0,000",,Gravedad,"16,200","100,000","117,700","101,500","107,000","7,000",001,"0,000 -",001,"16,000 -","No, Labio fijo -",,LECUBASO (LEKUBASO),GALDAKAO,NORTE
,LERTUETXE,,Explotación,AYUNTAMIENTO DE LEJONA,F. AZPELICUETA,,31-12-1964,--,0502555,4797275,Abastecimiento                                    -  -,-  -,,"0,500","0,000","0,000","0,000",,Materiales sueltos P hormigón,"10,000","160,000","30,500","21,000","21,000","0,000",000,-,001,"14,000 -","No, Labio fijo -",,LERTUETXE,LEJONA,C.I. PAÍS VASCO
,LEURTZA INFERIOR,,Explotación,"IBERDROLA ENERGÍAS RENOVABLES II, S.A.",D. MUGICA,A,31-12-1920,--,0604525,4769385,Hidroeléctrico                                    -  -,-  -,,"2,800","0,000","0,000","0,000",,Gravedad,"22,000","130,000","665,000","643,000","644,000","11,000",001,"4,100 -",001,"9,000 -","No, Labio fijo -",,REGATA LEURZA,URROTZ,NORTE
,LEURTZA SUPERIOR,,Explotación,"IBERDROLA ENERGÍAS RENOVABLES II, S.A.",D. MUGICA,A,31-12-1920,--,0604990,4769885,Hidroeléctrico                                    -  -,-  -,,"1,800","0,000","0,000","0,000",,Gravedad,"23,000","130,000","680,500","657,500","659,500","13,000",001,"4,540 -",001,"6,000 -","No, Labio fijo -",,REGATA LEURZA,URROTZ,NORTE
,LEZCANO I,,Explotación,COMUNIDAD DE REGANTES DE TENOYA,LUIS JIMÉNEZ,,01-01-1960,--,-739230,3167919,Riego                                             -  -,-  -,,"23,630","0,000","0,000","0,000",,Gravedad,"24,000","79,900","290000,000","266,000","266,000","9,020",000,-,001,"19,696 -","No, Labio fijo -",,BARRANCO LEZCANO,TEROR,LAS PALMAS
,LEZCANO II,,Explotación,COMUNIDAD DE REGANTES DE TENOYA,L-GIMENEZ,,01-01-1963,--,-738804,3168366,Riego                                             -  -,-  -,,"21,790","0,000","0,000","0,000",,Gravedad,"35,000","74,000","315,000","280,000","280,000","7,940",000,-,001,"208,602 -","No, Labio fijo -",,BARRANCO LEZCANO,TEROR,LAS PALMAS
,"LIMONERO, EL",,Explotación,JUNTA DE ANDALUCÍA,L. DE COSSIO / INYPSA,A,31-12-1983,--,0372469,4069221,Abastecimiento                                    -  - Defensa frente a avenidas,-  -,,"166,000","15,000","542,000","1238,000",,Materiales sueltos núcleo arcilla,"95,000","414,000","121,000","26,000","52,500","3390,000",001,"100,000 -",001,"614,000 -","No, Labio fijo -",,GUADALMEDINA,MALAGA,C. MEDITERRANEA ANDALUZA
,LINARES DEL ARROYO,,Explotación,ESTADO,J-MARTIN ELVIRA,A,31-12-1951,--,0453996,4597544,Hidroeléctrico                                    -  - Riego,-  -,,"716,300","88,000","565,000","600,000",,Gravedad,"35,600","111,850","916,600","881,000","887,300","52,300",001,"0,000 -",001,"618,000 -",Compuertas. -,,RIAZA,MADERUELO,DUERO
,LINSOLES,,Explotación,ENERGIAS DE ARAGON S.A.,M-ZABALA Y R. CONEJOS,,31-12-1964,--,0785395,4720142,Hidroeléctrico                                    -  -,-  -,,"260,000","0,000","0,000","600,000",,Gravedad,"36,000","290,000","1077,500","1041,500","1056,000","44,000",000,-,001,"600,000 -",Compuertas. -,,ESERA,SAHUN,EBRO
,LLAC DE LA MOLINA,,Explotación,FERROCARRILS DE LA GENERALITAT DE CATALUNYA,,B,01-01-1984,--,0906610,4698434,Recreo                                            -  -,-  -,,"0,000","0,000","0,000","12,200",,Materiales sueltos P Lámina,"7,000","180,000","1701,000","1694,000","0,000","0,000",001,"0,330 -",002,"1,220 - 0,380","Compuertas. - No, Labio fijo",,,ALP,EBRO
,LLANO DE LA LECHE,,Explotación,COMUNIDAD DE REGANTES DE BENAHAVIS,,,31-12-1905,--,0319750,4041326,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"20,000","72,000","60,500","40,500","42,500","4,000",000,-,001,"0,000 -","No, Labio fijo -",,LECHE,BENAHAVIS,C. MEDITERRANEA ANDALUZA
,LLANO DE MONCASAU,,Explotación,S.P. FUERZAS MOTRICES,W-WURTH,,31-12-1955,--,0819761,4728658,Hidroeléctrico                                    -  -,-  -,,"2,000","0,000","0,000","0,000",,Materiales sueltos P hormigón,"16,000","192,740","2036,740","2020,740","2028,240","97,210",000,-,001,"14,000 -","No, Labio fijo -",,LLANO MONCASAU,ALTO ARAN,EBRO
,LLAUSET,,Explotación,ENHER,"E. HERRERO, A. ALVAREZ, M. PEREZ Y J.M. BOIL",A,31-12-1983,--,0803692,4721164,Hidroeléctrico                                    -  -,-  -,,"7,600","14,600","2750,000","100,000",,Bóveda,"89,000","300,000","2192,000","2103,000","2130,000","220,000",001,"36,000 -",001,"125,000 -","No, Labio fijo -",,LLAUSET,MONTANUY,EBRO
,LLEIDA,SALT DE SEROS,Explotación,"ENDESA GENERACIÓN, S.A.",,C,31-12-1915,--,0803715,4614221,Hidroeléctrico                                    -  - Riego,-  -,,"11700,000","2604,000","0,000","4700,000",,Gravedad,"8,800","421,500","151,300","142,500","142,500","0,000",001,"- 516,000",001,"1480,000 -",Compuertas. -,,SEGRE,LLEIDA,EBRO
,LLERENA,LA LLERENA,Explotación,JUNTA DE EXTREMADURA,RAFAEL PUERTAS / INITEC,B,31-12-1989,--,0245500,4244900,Abastecimiento                                    -  -,-  -,,"101,000","10,880","550,000","131,610",,Gravedad,"23,000","490,000","545,000","522,000","525,250","36,700",001,"9,460 -",001,"278,000 -","No, Labio fijo -",,ARROYO CONEJO,"BERLANGA,HIGUERA DE LLERENA",GUADIANA
,LLODIO,,Explotación,AYUNTAMIENTO DE LLODIO,J-LLORENTE,,31-12-1972,--,0501130,4772437,Abastecimiento                                    -  -,-  -,,"4,400","0,000","0,000","60,000",,Materiales sueltos homogenea,"23,000","100,000","232,000","209,000","213,000","53,000",000,-,001,"60,000 -","No, Labio fijo -",,OLARTE,LLODIO,NORTE
,LLOSA DEL CAVALL,,Explotación,GENERALITAT DE CATALUÑA,M-COSTA,,31-12-1999,--,0879464,4671233,Abastecimiento                                    -  - Regulación,-  -,,"196,000","76,000","1160,000","513,000",,Bóveda,"122,000","326,000","810,300","688,000","700,000","350,000",001,"0,000 -",001,"281,200 -","No, Labio fijo -",,CARDONER,NAVES,C.I. CATALUÑA
,LOBATON,,Explotación,AGROPECUARIA LA ALCARIA S.L.,,C,31-12-1986,--,0272500,4057000,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Materiales sueltos núcleo arcilla,"11,000","130,000","11,500","0,500","2,500","0,000",000,-,001,"2,000 -","No, Labio fijo -",,,JEREZ DE LA FRONTERA,C. ATLÁNTICA ANDALUZA
,LOMILLA DE AGUILAR,,Explotación,JUNTA DE CASTILLA Y LEON,L. LANDA / INCISA,C,31-12-1997,--,0391325,4734245,Abastecimiento                                    -  - Riego,-  -,,"9,600","2,000","625,000","60,000",,Materiales sueltos núcleo arcilla,"23,000","215,000","950,750","927,750","930,000","158,500",001,"5,300 -",001,"60,000 -","No, Labio fijo -",,REITOBAS,AGUILAR DE CAMPOO,DUERO
,LORIGUILLA,,Explotación,ESTADO,J. SANCHO TELLO,A,01-01-1965,--,0679189,4392798,Regulación                                        -  - Riego,-  -,,"616,000","460,000","370,000","2000,000",,Gravedad,"78,670","198,000","322,500","243,830","265,000","187,500",002,"114,000 - 106,000",001,"2000,000 -",Compuertas. -,,TURIA,LORIGUILLA,JÚCAR
,"LOTETA, LA",,Construcción,ESTADO,E. NOVELLA JACOBO / INITEC,A,--,--,0639335,4631799,Abastecimiento                                    -  -,-  -,,"30,710","2,840","414,000","181,400",,Materiales sueltos núcleo arcilla,"34,000","1472,200","292,000","258,000","263,000","2956,844",002,"25,987 - 26,237",001,"0,000 -","No, Labio fijo -",,ARROYO CARRIZAL,GALLUR,EBRO
,LUGAREJOS,,Explotación,COMUNIDAD DE REGANTES DE NORTE,J-ALONSO URQUIJO,,01-01-1962,--,-751327,3168172,Riego                                             -  -,-  -,,"10,280","0,000","0,000","0,000",,Gravedad,"42,000","142,000","860,000","818,000","820,000","60,000",000,-,001,"131,420 -","No, Labio fijo -",,BCO. CORUÑA,"ARTENARA, AGAETE Y GÁLDAR",LAS PALMAS
,"MACHOS, LOS",,Explotación,JUNTA DE ANDALUCÍA,P-MURGA,A,31-12-1987,--,0127286,4138015,Riego                                             -  - Abastecimiento,-  -,,"83,750","7,000","535,000","900,000",,Materiales sueltos P hormigón,"29,500","310,000","30,000","0,500","1,500","170,000",002,"0,000 - 0,000",001,"900,000 -","No, Labio fijo -",,PIEDRAS,"LEPE, CARTAYA",C. ATLÁNTICA ANDALUZA
,"MACHUCAS, LAS",,Explotación,ANTONIO HERRERA MADARIAGA,M-MONEO VALLES,C,01-01-1979,--,0267525,4436509,Riego                                             -  -,-  -,,"1,530","0,000","0,000","3,000",,Materiales sueltos núcleo arcilla,"10,630","290,000","387,630","377,000","377,000","37,620",001,"0,769 -",002,"3,000 - 2,952","No, Labio fijo - No, Labio fijo",,ARROYO MACHUCAS,COLLADO Y JARAIZ DE LA VERA,TAJO
,MADROÑERAS,MADROÑERA,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",L.CANALEJO,B,01-01-1973,--,0267275,4372340,Abastecimiento                                    -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"22,000","296,650","707,000","685,000","686,950","12,310",001,"0,000 -",001,"18,000 -","No, Labio fijo -",,ARROYO AGUIJAR,MADROÑERA,TAJO
,MADROÑERAS  II,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",,A,31-12-1997,--,0261100,4366400,Riego                                             -  -,-  -,,"2,100","0,657","686,900","14,500",,Materiales sueltos homogenea,"11,000","180,000","543,590","532,590","533,090","15,956",001,"0,480 -",001,"8,100 -","No, Labio fijo -",,REGATO DEL PUEBLO,MADROÑERA,TAJO
