DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,ALCAUCIN,,Explotación,JUNTA DE ANDALUCÍA,J.A. RODRIGUEZ ARRIBAS,C,31-12-1995,--,0398620,4083956,Derivación                                        -  -,-  -,,"41,370","0,000","0,000","240,000",,Gravedad,"15,500","100,880","264,000","248,500","255,200","9,860",001,"190,000 -",001,"240,000 -","No, Labio fijo -",,ALCAUCIN,ALCAUCIN,C. MEDITERRANEA ANDALUZA
,ALCORA,,Explotación,ESTADO,R. AZCOITI,A,01-01-1958,--,0737511,4442314,Riego                                             -  -,-  -,,"109,000","15,380","357,000","330,000",,Gravedad,"30,000","108,000","303,750","273,750","274,750","24,000",001,"15,000 -",001,"330,000 -",Compuertas. -,,LUCENA,ALCORA,JÚCAR
,ALCORLO,,Explotación,ESTADO,A. MIRANDA,A,01-01-1978,--,0497880,4540050,Abastecimiento                                    -  - Riego,-  -,,"366,000","82,000","694,000","554,000",,Materiales sueltos núcleo arcilla,"73,000","290,700","923,500","850,000","850,400","1251,000",001,"0,000 -",001,"260,000 -","No, Labio fijo -",,BORNOVA,LA TOBA,TAJO
,ALCUESCAR,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T","L. CANALEJO, C. CARBAJO Y M. CRUZ",A,01-01-1977,--,0220535,4346617,Abastecimiento                                    -  -,-  -,,"11,850","2,980","669,600","13,320",,Gravedad,"18,400","551,250","444,300","425,900","428,800","23,773",001,"1,800 -",001,"13,300 -","No, Labio fijo -",,AYUELA,ALCUESCAR,TAJO
,ALDEA DEL CANO,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",J. HERREROS,A,31-12-1988,--,0214837,4351630,Riego                                             -  -,-  -,,"30,300","2,910","531,200","70,000",,Materiales sueltos P Lámina,"12,500","450,000","390,500","378,000","381,500","97,317",001,"2,800 -",001,"125,000 -","No, Labio fijo -",,ARROYO SANTIAGO,ALDEA DEL CANO,TAJO
,ALDEADAVILA,,Explotación,IBERDROLA GENERACION S.A.,P. MARTINEZ ARTOLA,A,31-12-1963,--,0190498,4568801,Hidroeléctrico                                    -  -,-  -,,"73458,000","12393,000","598,000","12500,000",,Arco Gravedad,"139,500","250,000","333,000","193,500","204,000","848,120",001,"334,000 -",002,"2400,000 - 9708,000",Compuertas. - Compuertas.,,DUERO,ALDEADAVILA DE LA RIBERA,DUERO
,ALDEANUEVA,AMBROZ,Explotación,ESTADO,J. MIRANDA,A,31-12-1992,--,0261313,4495664,Abastecimiento                                    -  -,-  -,,"107,000","0,000","0,000","485,000",,Gravedad,"15,000","165,000","494,500","479,500","483,000","0,000",001,"31,400 -",001,"485,400 -","No, Labio fijo -",,AMBROZ,ALDEANUEVA DEL CAMINO,TAJO
,ALFILORIOS,,Explotación,ESTADO,URBANO ARREGUI,A,31-12-1990,--,0263470,4797800,Abastecimiento                                    -  -,-  -,,"4,090","3,000","1200,000","35,500",,Materiales sueltos P hormigón,"67,000","171,700","406,250","339,250","358,500","346,740",001,"0,830 -",001,"35,500 -","No, Labio fijo -",,BARREA,RIBERA DE ARRIBA,NORTE
,ALFONSO XIII,QUIPAR,Explotación,ESTADO,MUGURUZA Y J-ROMERO,A,31-12-1915,--,0622731,4231660,Defensa frente a avenidas                         -  - Riego,-  -,,"734,000","25,670","320,000","720,000",,Gravedad,"46,000","87,000","303,000","257,000","262,000","30,390",001,"328,300 -",001,"180,000 -",Compuertas. -,,QUIPAR,CALASPARRA,SEGURA
,ALGAR,ALGAR DE PALANCIA,Explotación,ESTADO,ENRIQUE CIFRES,A,01-01-2000,--,0724760,4407775,Defensa frente a avenidas                         -  - Regulación,-  -,,"781,000","46,200","616,000","2650,000",,Gravedad y materiales sueltos P asfáltica,"49,000","484,420","217,000","168,000","180,000","323,560",001,"240,000 -",001,"2650,000 -","No, Labio fijo -",,PALANCIA,ALGAR DE PALANCIA,JÚCAR
