codpresa,Nombre,Nombre SEPREM,Otro nombre,Fecha,Anyo,Rio,Municipio,Cuenca,Provincia,x,y,Tipos
3100088,BORBOLLON (DERIVACION) - ARRAGO (CONTRAEMBALSE),BORBOLLON (DERIVACION) - ARRAGO,---,01/01/54,1954,ARRAGO,SANTIBA„EZ EL ALTO,TAJO,CACERES,193368,4446703,"Riego, ---, ---"
5110061,BORNOS,BORNOS,---,01/01/61,1961,GUADALETE,BORNOS,GUADALETE Y BARBATE,CADIZ,253744,4075482,"HidroelŽctrico, Riego, ---"
3100094,"BOYERIL 2, EL","BOYERIL 2, EL",---,01/01/65,1965,ARROYO MANCO,CASATEJADA,TAJO,CACERES,274235,4419290,"Riego, ---, ---"
4060047,BROVALES,BROVALES,---,01/01/60,1960,BROVALES,JEREZ DE LOS CABALLEROS,GUADIANA,BADAJOZ,176798,4251307,"Riego, ---, ---"
9220016,BUBAL,BUBAL,---,31/12/71,1971,GALLEGO,"HOZ DE JACA, BIESCAS",EBRO,HUESCA,720079,4729203,"Abastecimiento, HidroelŽctrico, Riego"
3190007,BUENDIA,BUENDIA,---,31/12/58,1958,GUADIELA,BUENDIA,TAJO,CUENCA,518481,4472261,"HidroelŽctrico, Abastecimiento, Riego"
12350003,CABO VERDE,CABO VERDE,---,01/01/60,1960,LOMO BLANCO,MOYA,LAS PALMAS,LAS PALMAS,741364,3176969,"Riego, ---, ---"
12350027,"CAIDERILLOS, LOS","CAIDERILLOS, LOS",---,01/01/45,1945,CAIDERILLOS,MOYA,LAS PALMAS,LAS PALMAS,740694,3176302,"Riego, ---, ---"
12350032,CAIDERO DE LA NI„A,CAIDERO DE LA NIA,---,01/01/57,1957,BARRANCO ALDEA,ARTENARA,LAS PALMAS,LAS PALMAS,758260,3161560,"Riego, ---, ---"
12350030,CALABOZO,CALABOZO,---,01/01/52,1952,BARRANCO CALABOZO,GUIA DE GRAN CANARIA,LAS PALMAS,LAS PALMAS,744664,3175928,"Riego, ---, ---"
12350023,"CALLEJON, EL","CALLEJON, EL",---,11/07/40,1940,BARRANCO CALLEJON,FIRGAS,LAS PALMAS,LAS PALMAS,738920,3173865,"Riego, ---, ---"
2420008,CAMPILLO DE BUITRAGO,CAMPILLO DE BUITRAGO,---,30/09/69,1969,DUERO,SORIA Y GARRAY,DUERO,SORIA,539483,4631600,"Abastecimiento, Riego, ---"
12350050,CANDELARIA,CANDELARIA,---,01/01/69,1969,BARRANCO DEL MERINO,ARTENARA,LAS PALMAS,LAS PALMAS,752548,3164365,"Riego, ---, ---"
5410016,CANTILLANA,CANTILLANA,---,31/12/56,1956,GUADALQUIVIR,CANTILLANA,GUADALQUIVIR,SEVILLA,252655,4164393,"HidroelŽctrico, Riego, ---"
12350071,CASAS BLANCAS,CASAS BLANCAS,---,25/04/44,1944,BARRANCO ROSALES,FIRGAS,LAS PALMAS,LAS PALMAS,738610,3175528,"Riego, ---, ---"
3450033,CASTREJON,CASTREJON,---,31/12/67,1967,TAJO,"PUEBLA DE MONTALBAN, LA Y POLÌN",TAJO,TOLEDO,389280,4410440,"HidroelŽctrico, Riego, ---"
3450014,CASTREJON / CA„ARES,CASTREJON / CAARES,---,31/12/67,1967,ARROYO CA„ARES,"PUEBLA DE MONTALBAN, LA",TAJO,TOLEDO,382105,4411925,"HidroelŽctrico, Riego, ---"
3450043,"CASTREJON / CARPIO, EL","CASTREJON / CARPIO, EL",---,31/12/67,1967,ARROYO EL CARPIO,CARPIO DE TAJO,TAJO,TOLEDO,376065,4413100,"HidroelŽctrico, Riego, ---"
3450047,CAZALEGAS,CAZALEGAS,---,31/12/49,1949,ALBERCHE,CAZALEGAS,TAJO,TOLEDO,354505,4430825,"Abastecimiento, Riego, ---"
5110019,CELEMIN (ALIVIADERO) (DIQUE DEL COLLADO),CELEMIN,---,01/01/74,1974,CELEMIN,MEDINA-SIDONIA,GUADALETE Y BARBATE,CADIZ,251076,4021595,"Riego, ---, ---"
7020010,"CENAJO, EL","CENAJO, EL",---,31/12/60,1960,SEGURA,MORATALLA Y HELLIN,SEGURA,MURCIA,607142,4247250,"Defensa frente a avenidas, Riego, ---"
2490003,CERNADILLA,CERNADILLA,---,31/12/69,1969,TERA,CERNADILLA- MANZANAL DE ARRIBA,DUERO,ZAMORA,213312,4657994,"HidroelŽctrico, Riego, ---"
2490003,CERNADILLA,CERNADILLA (DIQUE DEL COLLADO),---,31/12/69,1969,TERA,CERNADILLA- MANZANAL DE ARRIBA,DUERO,ZAMORA,213312,4657994,"HidroelŽctrico, Riego, ---"
3450040,"CERQUILLA, LA","CERQUILLA, LA",---,31/12/62,1962,JULIAN (ARROYO DE SAN JULIAN),"CALZADA DE OROPESA, LA",TAJO,TOLEDO,307907,4429641,"Riego, ---, ---"
12350026,CHAMORISCAN,CHAMORISCAN,---,01/07/65,1965,CHAMORISCAN,SAN BARTOLOME DE TIRAJANA,LAS PALMAS,LAS PALMAS,749220,3142451,"Riego, ---, ---"
13380052,CHARCA DE CABO BLANCO,CHARCA DE CABO BLANCO,---,31/12/40,1940,GALLETAS,ARONA,TENERIFE,TENERIFE,850134,3181376,"Riego, ---, ---"
13380049,CHAYOFA (BALSA),CHAYOFA II,---,31/12/27,1927,SIN-RIO,ARONA,TENERIFE,TENERIFE,852660,3183130,"Riego, ---, ---"
12350025,CHIRA,CHIRA,---,01/01/64,1964,CHIRA,SAN BARTOLOME DE TIRAJANA,LAS PALMAS,LAS PALMAS,749788,3151973,"Riego, ---, ---"
13380051,CIGUA„A,CIGUAA,---,31/12/56,1956,CIGUA„A,GRANADILLA DE ABONA,TENERIFE,TENERIFE,843663,3177279,"Riego, ---, ---"
4100015,CIJARA,CIJARA,---,01/01/56,1956,GUADIANA,ALIA Y HERRERA DEL DUQUE,GUADIANA,CACERES,326475,4360367,"Abastecimiento, HidroelŽctrico, Riego"
9430006,CIURANA,CIURANA,---,31/12/72,1972,CIURANA,CORNUDELLA DE MONTSANT,EBRO,TARRAGONA,828373,4574080,"Abastecimiento, Riego, ---"
10170006,COLOMERS (AZUD),COLOMERS,---,01/12/67,1967,TER,COLOMERS,CUENCAS INTERNAS DE CATALU„A,GERONA,996004,4675791,"Riego, ---, ---"
5140036,CORDOBILLA,CORDOBILLA,---,01/01/53,1953,GENIL,PUENTE GENIL,GUADALQUIVIR,CORDOBA,347701,4135123,"HidroelŽctrico, Riego, ---"
